id,state,destination,year,month,season,purpose_of_visit,visitor_type,number_of_visitors,avg_stay_days,avg_spend_inr,accommodation_type,transport_mode,rating_out_of_5
748,Maharashtra,Lonavala,2022,August,Winter,Backpacking,Domestic,11310,3.9,55352,Hotel,Bus,4
749,Himachal Pradesh,Manali,2024,August,Autumn,Backpacking,Domestic,13581,2.2,28458,Houseboat,Flight,3
750,Telangana,Warangal,2022,May,Spring,Wellness,Domestic,44931,5.1,27937,Guesthouse,Train,1
751,Andhra Pradesh,Vizag,2023,April,Spring,Wildlife,Foreign,32225,5.1,6622,Guesthouse,Bus,1
752,Andhra Pradesh,Araku Valley,2024,October,Autumn,Honeymoon,Domestic,11818,9.1,58133,Camp,Train,4
753,Tamil Nadu,Rameswaram,2021,July,Winter,Wellness,Domestic,10400,3.5,71982,Houseboat,Flight,3
754,Karnataka,Hampi,2024,February,Spring,Wildlife,Domestic,33106,7.9,44231,Homestay,Flight,4
755,Tamil Nadu,Kodaikanal,2023,January,Spring,Business,Domestic,45563,7.1,62042,Hostel,Flight,4
756,Madhya Pradesh,Bhopal,2024,January,Winter,Wildlife,Domestic,8994,3.9,62349,Homestay,Flight,4
757,Goa,North Goa,2025,December,Summer,Backpacking,Domestic,18343,8.6,23859,Hostel,Train,1
758,Himachal Pradesh,Manali,2024,September,Winter,Honeymoon,Domestic,44050,7.9,37315,Houseboat,Car,2
759,Gujarat,Rann of Kutch,2024,November,Winter,Business,Domestic,3179,8.5,70034,Guesthouse,Train,1
760,West Bengal,Digha,2021,January,Spring,Leisure,Domestic,16414,4.4,32765,Hotel,Car,2
761,Rajasthan,Jaisalmer,2022,June,Winter,Leisure,Domestic,4190,3.0,14161,Camp,Train,2
762,Kerala,Wayanad,2024,June,Winter,Backpacking,Domestic,40988,2.9,72502,Homestay,Bike,4
763,Himachal Pradesh,Manali,2024,June,Winter,Business,Domestic,42910,3.8,52511,Homestay,Train,2
764,Maharashtra,Mumbai,2025,June,Spring,Honeymoon,Foreign,26991,3.7,66980,Hotel,Flight,1
765,Sikkim,Pelling,2024,October,Winter,Honeymoon,Domestic,45513,2.2,24480,Homestay,Car,3
766,Goa,Panaji,2021,October,Spring,Leisure,Domestic,48665,3.1,3242,Hostel,Car,2
767,Bihar,Patna,2022,December,Summer,Honeymoon,Domestic,3977,2.2,66869,Hostel,Train,3
768,Uttarakhand,Mussoorie,2023,April,Winter,Business,Foreign,29130,7.7,44582,Houseboat,Bike,2
769,Punjab,Jalandhar,2022,July,Spring,Leisure,Domestic,15058,8.6,44920,Houseboat,Bus,3
770,Karnataka,Chikmagalur,2021,November,Summer,Leisure,Domestic,25051,5.7,25557,Houseboat,Train,4
771,Goa,Calangute,2022,January,Summer,Adventure,Foreign,8278,1.8,73438,Houseboat,Train,2
772,Odisha,Puri,2025,May,Autumn,Wildlife,Domestic,11612,6.5,41228,Resort,Train,3
773,Andhra Pradesh,Lepakshi,2025,August,Monsoon,Business,Domestic,11044,5.2,56903,Hotel,Bus,5
774,Jammu and Kashmir,Gulmarg,2022,July,Winter,Heritage,Domestic,19725,6.4,21527,Hostel,Flight,5
775,Uttar Pradesh,Mathura,2022,August,Monsoon,Heritage,Domestic,31562,1.6,19411,Homestay,Car,4
776,Uttarakhand,Haridwar,2024,September,Winter,Leisure,Domestic,27301,9.5,50408,Houseboat,Bus,4
777,West Bengal,Siliguri,2023,July,Winter,Wellness,Domestic,37117,2.5,58686,Hotel,Flight,3
778,Odisha,Gopalpur,2023,December,Monsoon,Heritage,Foreign,48262,3.2,64116,Hotel,Car,1
779,Rajasthan,Mount Abu,2021,October,Monsoon,Pilgrimage,Domestic,39512,6.2,22658,Hostel,Train,1
780,Goa,Margao,2023,December,Autumn,Wildlife,Domestic,12424,8.9,23234,Guesthouse,Flight,4
781,West Bengal,Sundarbans,2023,October,Autumn,Backpacking,Domestic,47737,8.8,15822,Homestay,Car,5
782,Uttarakhand,Nainital,2025,December,Autumn,Business,Foreign,32275,1.0,10654,Homestay,Flight,4
783,Jammu and Kashmir,Leh,2021,March,Autumn,Honeymoon,Domestic,8853,2.8,25353,Resort,Bus,5
784,Andhra Pradesh,Kakinada,2025,April,Summer,Business,Foreign,12625,3.3,55081,Hotel,Train,4
785,Himachal Pradesh,Dalhousie,2024,May,Winter,Pilgrimage,Domestic,4261,4.1,32273,Hotel,Car,4
786,Himachal Pradesh,Shimla,2024,January,Monsoon,Leisure,Domestic,2793,1.9,69963,Houseboat,Bike,1
787,Bihar,Vaishali,2022,August,Autumn,Honeymoon,Domestic,22106,4.3,46467,Camp,Bus,3
788,Gujarat,Vadodara,2021,October,Autumn,Wildlife,Foreign,6615,1.0,54165,Hotel,Bus,2
789,Bihar,Patna,2024,December,Monsoon,Backpacking,Domestic,40574,7.2,63785,Camp,Train,5
790,Karnataka,Bengaluru,2025,November,Winter,Family,Foreign,48272,3.9,59736,Homestay,Flight,2
791,Telangana,Ramoji Film City,2025,June,Winter,Wellness,Foreign,45892,9.1,51944,Hostel,Car,3
792,Karnataka,Gokarna,2024,October,Spring,Pilgrimage,Domestic,32682,8.2,40998,Camp,Bike,5
793,Tamil Nadu,Madurai,2024,November,Autumn,Adventure,Domestic,11219,7.8,13222,Guesthouse,Train,1
794,Rajasthan,Udaipur,2024,May,Autumn,Family,Domestic,43998,2.1,19293,Resort,Bus,5
795,Goa,Margao,2024,October,Summer,Family,Domestic,22543,4.4,51523,Camp,Bike,5
796,Maharashtra,Pune,2025,May,Winter,Honeymoon,Domestic,48584,6.3,26162,Hotel,Flight,1
797,Gujarat,Rann of Kutch,2023,October,Autumn,Family,Domestic,38720,5.8,52375,Houseboat,Flight,4
798,Gujarat,Vadodara,2022,November,Spring,Pilgrimage,Domestic,25957,1.1,61872,Guesthouse,Bike,3
799,West Bengal,Darjeeling,2023,March,Autumn,Heritage,Domestic,43654,8.6,6001,Guesthouse,Bus,5
800,West Bengal,Sundarbans,2023,December,Monsoon,Adventure,Domestic,14186,5.5,50875,Guesthouse,Car,1
801,Uttarakhand,Jim Corbett,2022,December,Summer,Business,Foreign,11782,8.7,52855,Houseboat,Flight,3
802,Rajasthan,Pushkar,2023,July,Monsoon,Wildlife,Foreign,49707,4.5,10914,Houseboat,Car,5
803,West Bengal,Siliguri,2024,July,Spring,Business,Domestic,38086,8.8,8594,Hotel,Train,3
804,Tamil Nadu,Mahabalipuram,2023,December,Autumn,Pilgrimage,Foreign,13797,3.0,27144,Hostel,Bus,1
805,Sikkim,Gangtok,2021,July,Autumn,Pilgrimage,Foreign,6344,4.2,63611,Houseboat,Train,2
806,Himachal Pradesh,Spiti,2025,July,Spring,Family,Domestic,7835,3.2,65545,Resort,Car,3
807,Tamil Nadu,Rameswaram,2021,August,Winter,Wildlife,Domestic,42857,5.0,3020,Camp,Car,1
808,Goa,North Goa,2022,April,Spring,Heritage,Domestic,37577,5.3,13893,Hotel,Bike,5
809,Madhya Pradesh,Pachmarhi,2024,October,Monsoon,Wildlife,Domestic,46827,9.2,71952,Resort,Flight,2
810,Rajasthan,Jaisalmer,2021,September,Spring,Backpacking,Domestic,38370,5.9,17764,Hostel,Flight,2
811,Tamil Nadu,Mahabalipuram,2025,September,Winter,Pilgrimage,Domestic,8492,6.2,22630,Hostel,Bus,1
812,Uttar Pradesh,Agra,2023,September,Winter,Adventure,Foreign,11296,4.8,1511,Homestay,Bus,2
813,Kerala,Thekkady,2025,August,Spring,Honeymoon,Domestic,20558,5.7,47652,Resort,Bike,5
814,Odisha,Bhubaneswar,2025,April,Winter,Adventure,Domestic,14154,9.6,73861,Hotel,Train,2
815,Gujarat,Dwarka,2024,July,Spring,Pilgrimage,Domestic,25070,6.8,22906,Hotel,Bike,4
816,Goa,Panaji,2025,September,Summer,Wildlife,Domestic,17705,10.0,26748,Resort,Flight,3
817,Odisha,Cuttack,2025,March,Autumn,Pilgrimage,Domestic,39608,3.2,36905,Homestay,Car,1
818,Himachal Pradesh,Dalhousie,2023,February,Autumn,Backpacking,Domestic,21907,8.0,20679,Homestay,Flight,2
819,Rajasthan,Jaipur,2025,July,Summer,Wildlife,Domestic,47781,8.9,65675,Hotel,Flight,1
820,Gujarat,Vadodara,2023,September,Monsoon,Wellness,Domestic,3193,2.5,52560,Homestay,Bike,2
821,Assam,Jorhat,2022,August,Autumn,Wellness,Domestic,45050,5.6,21880,Guesthouse,Train,2
822,Madhya Pradesh,Ujjain,2022,December,Winter,Honeymoon,Domestic,16375,7.1,56320,Houseboat,Bus,4
823,Andhra Pradesh,Araku Valley,2021,May,Spring,Heritage,Domestic,47135,8.9,31484,Homestay,Car,3
824,West Bengal,Digha,2023,November,Winter,Family,Domestic,6186,2.5,9025,Hotel,Flight,1
825,Assam,Sivasagar,2024,November,Autumn,Leisure,Domestic,33801,7.2,71283,Guesthouse,Train,1
826,Rajasthan,Pushkar,2021,December,Winter,Business,Domestic,16055,9.9,70720,Hostel,Bike,5
827,Bihar,Rajgir,2024,April,Spring,Pilgrimage,Domestic,8787,5.6,8172,Resort,Flight,4
828,Madhya Pradesh,Bhopal,2023,June,Winter,Family,Foreign,7774,3.6,64824,Houseboat,Train,3
829,Karnataka,Bengaluru,2023,April,Autumn,Wellness,Foreign,2371,9.4,65498,Homestay,Bike,1
830,Rajasthan,Pushkar,2021,May,Monsoon,Heritage,Domestic,47395,2.7,47969,Homestay,Flight,1
831,Jammu and Kashmir,Sonmarg,2024,September,Winter,Business,Domestic,31993,1.1,34285,Guesthouse,Train,2
832,Madhya Pradesh,Indore,2022,July,Monsoon,Honeymoon,Foreign,7173,9.9,59087,Resort,Bike,2
833,Gujarat,Vadodara,2023,June,Winter,Wildlife,Domestic,18721,1.4,53213,Camp,Train,4
834,Kerala,Alleppey,2024,November,Autumn,Business,Domestic,36102,5.5,18203,Homestay,Flight,3
835,Odisha,Gopalpur,2023,February,Summer,Wildlife,Domestic,22602,5.5,32499,Hotel,Flight,1
836,Jammu and Kashmir,Jammu,2022,August,Autumn,Leisure,Domestic,49916,4.9,21487,Homestay,Bus,5
837,Maharashtra,Lonavala,2025,December,Monsoon,Adventure,Domestic,46348,8.0,15008,Resort,Car,5
838,Tamil Nadu,Ooty,2021,April,Summer,Wellness,Domestic,17997,9.9,20663,Hotel,Train,4
839,Bihar,Bodh Gaya,2024,July,Winter,Adventure,Domestic,41554,9.8,30568,Hostel,Bike,3
840,Telangana,Hyderabad,2022,November,Autumn,Backpacking,Domestic,23877,3.5,47509,Hotel,Bus,4
841,Punjab,Amritsar,2022,January,Winter,Pilgrimage,Domestic,30986,3.5,14707,Hotel,Bus,4
842,Uttar Pradesh,Mathura,2023,May,Monsoon,Family,Domestic,44808,6.0,18579,Hotel,Flight,3
843,Gujarat,Vadodara,2022,October,Spring,Wellness,Domestic,13814,6.3,12933,Homestay,Train,1
844,Bihar,Patna,2025,November,Spring,Leisure,Domestic,29263,9.3,11314,Camp,Train,5
845,Punjab,Ludhiana,2023,September,Summer,Heritage,Domestic,12613,4.8,34599,Houseboat,Train,5
846,Gujarat,Somnath,2023,February,Autumn,Adventure,Domestic,33071,8.1,23380,Hostel,Car,5
847,Uttarakhand,Nainital,2021,January,Spring,Leisure,Domestic,26100,5.5,71291,Camp,Train,5
848,Tamil Nadu,Madurai,2025,September,Autumn,Backpacking,Domestic,17842,2.9,1971,Camp,Car,2
849,Karnataka,Chikmagalur,2021,August,Spring,Leisure,Domestic,14489,3.7,36694,Guesthouse,Bike,5
850,Tamil Nadu,Ooty,2022,April,Spring,Leisure,Domestic,18253,9.3,36946,Homestay,Flight,1
851,Karnataka,Chikmagalur,2022,November,Winter,Adventure,Foreign,21320,1.7,73494,Homestay,Bike,3
852,Jammu and Kashmir,Jammu,2023,January,Monsoon,Honeymoon,Foreign,14420,7.6,38159,Houseboat,Flight,2
853,Rajasthan,Pushkar,2024,December,Winter,Wellness,Foreign,16915,8.8,73704,Houseboat,Car,2
854,Maharashtra,Lonavala,2022,October,Summer,Honeymoon,Domestic,15236,7.6,58372,Houseboat,Car,3
855,Telangana,Hyderabad,2021,August,Summer,Heritage,Domestic,32196,9.5,25146,Resort,Train,3
856,West Bengal,Darjeeling,2021,November,Autumn,Pilgrimage,Domestic,4771,4.8,61140,Guesthouse,Train,4
857,Odisha,Bhubaneswar,2022,February,Spring,Leisure,Domestic,938,7.9,7233,Hostel,Car,2
858,Goa,Panaji,2022,January,Spring,Pilgrimage,Foreign,7019,5.9,45853,Camp,Flight,1
859,Uttarakhand,Mussoorie,2021,March,Autumn,Wellness,Domestic,16028,1.5,36556,Homestay,Bus,5
860,Rajasthan,Jaipur,2022,May,Spring,Adventure,Foreign,27266,2.3,30901,Hotel,Bike,1
861,Jammu and Kashmir,Sonmarg,2022,November,Monsoon,Pilgrimage,Foreign,44903,4.5,16233,Homestay,Train,4
862,Himachal Pradesh,Manali,2025,June,Monsoon,Adventure,Domestic,23675,9.3,12615,Hotel,Bike,1
863,Uttarakhand,Haridwar,2023,June,Spring,Wildlife,Domestic,9894,9.0,41026,Guesthouse,Train,5
864,Gujarat,Ahmedabad,2022,November,Autumn,Honeymoon,Foreign,46666,8.2,1785,Homestay,Bus,2
865,Punjab,Chandigarh,2021,December,Autumn,Wildlife,Foreign,7466,6.2,38000,Camp,Car,2
866,Punjab,Chandigarh,2022,June,Autumn,Pilgrimage,Domestic,45494,9.8,45207,Homestay,Car,2
867,Madhya Pradesh,Pachmarhi,2025,September,Autumn,Backpacking,Domestic,15130,4.5,56791,Guesthouse,Car,5
868,Maharashtra,Nashik,2021,June,Summer,Adventure,Foreign,1174,4.3,63618,Hotel,Train,2
869,Kerala,Kochi,2022,May,Summer,Family,Foreign,36193,9.7,56691,Hostel,Train,2
870,Maharashtra,Mumbai,2021,December,Winter,Pilgrimage,Domestic,1776,7.3,57167,Houseboat,Train,3
871,Himachal Pradesh,Dalhousie,2022,August,Winter,Wellness,Foreign,2028,2.3,20017,Camp,Bike,1
872,Goa,North Goa,2024,March,Autumn,Wellness,Domestic,9232,7.7,40757,Camp,Train,4
873,Punjab,Patiala,2022,February,Monsoon,Leisure,Foreign,2154,6.4,24251,Resort,Flight,5
874,Rajasthan,Jaisalmer,2022,September,Autumn,Wildlife,Foreign,32940,3.8,31294,Houseboat,Bus,4
875,Uttar Pradesh,Agra,2025,March,Autumn,Backpacking,Domestic,3719,3.0,25577,Houseboat,Train,5
876,Goa,Margao,2022,June,Autumn,Heritage,Foreign,10851,1.5,50190,Houseboat,Car,4
877,Uttar Pradesh,Agra,2022,June,Winter,Adventure,Domestic,18544,2.5,15454,Guesthouse,Bus,1
878,Bihar,Patna,2024,September,Summer,Honeymoon,Domestic,5623,9.8,7381,Resort,Flight,5
879,Kerala,Munnar,2023,May,Winter,Family,Domestic,26142,5.5,42718,Hotel,Bus,4
880,Uttarakhand,Jim Corbett,2025,July,Monsoon,Adventure,Domestic,9892,1.2,51584,Houseboat,Bike,4
881,Kerala,Kochi,2022,November,Summer,Pilgrimage,Foreign,6163,9.6,31852,Hostel,Flight,2
882,Tamil Nadu,Mahabalipuram,2024,November,Spring,Backpacking,Domestic,8648,4.1,48727,Guesthouse,Bus,5
883,Kerala,Kovalam,2021,April,Summer,Wildlife,Domestic,10037,6.1,66711,Guesthouse,Bike,1
884,Uttarakhand,Nainital,2023,August,Winter,Backpacking,Domestic,19422,2.5,38215,Hotel,Car,5
885,Gujarat,Ahmedabad,2021,December,Summer,Adventure,Domestic,31065,9.8,59439,Camp,Car,2
886,Sikkim,Yumthang,2025,May,Monsoon,Leisure,Foreign,44652,2.2,49568,Hostel,Car,5
887,Punjab,Ludhiana,2025,September,Autumn,Adventure,Foreign,44781,1.4,8978,Hostel,Bus,2
888,Rajasthan,Udaipur,2023,July,Monsoon,Adventure,Domestic,4832,3.0,62091,Resort,Bike,1
889,Andhra Pradesh,Vijayawada,2023,February,Autumn,Backpacking,Domestic,26064,7.9,27645,Hotel,Train,4
890,Goa,Panaji,2022,August,Spring,Family,Domestic,29841,1.3,21913,Resort,Car,4
891,Karnataka,Coorg,2021,October,Winter,Wellness,Domestic,23740,8.1,63550,Camp,Car,2
892,Karnataka,Bengaluru,2024,May,Monsoon,Wildlife,Domestic,4588,3.5,12209,Houseboat,Train,3
893,Jammu and Kashmir,Jammu,2022,March,Monsoon,Business,Domestic,28134,4.1,40415,Camp,Flight,2
894,Gujarat,Somnath,2025,September,Autumn,Heritage,Foreign,28675,4.2,52505,Houseboat,Train,1
895,Bihar,Bodh Gaya,2022,October,Spring,Adventure,Domestic,48176,7.7,42986,Resort,Bus,1
896,Andhra Pradesh,Tirupati,2024,February,Monsoon,Heritage,Domestic,47385,1.0,60555,Camp,Car,2
897,Sikkim,Gangtok,2022,December,Summer,Leisure,Domestic,10935,6.4,29829,Resort,Car,3
898,Karnataka,Gokarna,2024,June,Winter,Wellness,Domestic,20167,5.5,17850,Camp,Bus,4
899,Jammu and Kashmir,Sonmarg,2024,September,Monsoon,Family,Foreign,22058,2.0,24544,Hostel,Bike,4
900,Gujarat,Rann of Kutch,2025,March,Spring,Backpacking,Domestic,43277,7.2,58843,Guesthouse,Car,3
901,Himachal Pradesh,Shimla,2024,November,Winter,Adventure,Foreign,6844,5.5,72899,Hotel,Bike,1
902,Odisha,Cuttack,2021,July,Monsoon,Leisure,Domestic,36198,4.4,27132,Resort,Train,4
903,Gujarat,Somnath,2024,January,Autumn,Wildlife,Domestic,17588,8.9,36168,Homestay,Train,3
904,Maharashtra,Mumbai,2022,January,Winter,Wildlife,Domestic,34060,8.4,43111,Hotel,Train,3
905,Sikkim,Yumthang,2024,July,Spring,Business,Domestic,3430,8.2,57743,Resort,Bike,2
906,Tamil Nadu,Madurai,2025,March,Spring,Family,Domestic,8329,5.5,52881,Hostel,Train,3
907,Tamil Nadu,Kodaikanal,2025,February,Winter,Business,Domestic,38931,2.4,72760,Hotel,Car,1
908,Madhya Pradesh,Khajuraho,2025,November,Autumn,Pilgrimage,Domestic,42813,9.1,40418,Houseboat,Bus,2
909,Maharashtra,Nashik,2024,November,Monsoon,Wildlife,Domestic,9472,6.6,15055,Hotel,Bus,1
910,Bihar,Patna,2021,May,Summer,Adventure,Domestic,32440,8.6,28759,Homestay,Train,4
911,Telangana,Hyderabad,2022,August,Winter,Wildlife,Domestic,27569,4.4,42602,Houseboat,Flight,4
912,Tamil Nadu,Kodaikanal,2025,November,Summer,Leisure,Foreign,7731,9.8,46953,Guesthouse,Bike,4
913,Bihar,Vaishali,2025,September,Summer,Leisure,Foreign,12688,6.5,71748,Houseboat,Bus,1
914,Odisha,Bhubaneswar,2023,February,Monsoon,Business,Domestic,14452,1.8,18091,Resort,Flight,3
915,Telangana,Warangal,2023,December,Monsoon,Adventure,Domestic,32542,4.9,53921,Guesthouse,Bus,2
916,Tamil Nadu,Ooty,2024,February,Autumn,Honeymoon,Domestic,13539,9.6,65441,Guesthouse,Bike,4
917,Jammu and Kashmir,Jammu,2024,October,Monsoon,Honeymoon,Domestic,13138,6.1,50515,Hotel,Bike,1
918,Tamil Nadu,Chennai,2024,October,Monsoon,Backpacking,Domestic,42327,9.6,71033,Hostel,Bus,3
919,Rajasthan,Jaipur,2022,July,Monsoon,Pilgrimage,Domestic,4810,2.9,50214,Camp,Train,3
920,Punjab,Amritsar,2021,December,Monsoon,Leisure,Domestic,37239,8.2,31993,Hotel,Bus,5
921,Madhya Pradesh,Indore,2024,September,Summer,Wellness,Domestic,46991,6.5,11307,Resort,Flight,5
922,Jammu and Kashmir,Pahalgam,2022,April,Summer,Family,Domestic,18034,4.8,17765,Hotel,Car,4
923,Bihar,Nalanda,2023,April,Autumn,Wellness,Domestic,42233,8.0,2109,Guesthouse,Flight,4
924,Uttarakhand,Mussoorie,2023,September,Spring,Leisure,Domestic,4601,5.2,55905,Hotel,Bus,3
925,Punjab,Ludhiana,2021,September,Winter,Wildlife,Domestic,3134,4.5,61082,Camp,Bus,4
926,Gujarat,Gir,2022,April,Winter,Adventure,Domestic,21208,8.8,58605,Hotel,Flight,2
927,Goa,South Goa,2023,January,Spring,Family,Domestic,2873,2.0,41383,Houseboat,Flight,1
928,Punjab,Jalandhar,2022,May,Autumn,Wellness,Foreign,38287,5.1,18052,Houseboat,Train,3
929,Sikkim,Yumthang,2024,September,Winter,Heritage,Domestic,43386,5.4,38271,Guesthouse,Train,3
930,Maharashtra,Mumbai,2021,December,Monsoon,Honeymoon,Domestic,15934,6.9,28486,Hotel,Bus,1
931,Telangana,Hyderabad,2025,November,Winter,Business,Foreign,12365,5.4,46123,Resort,Car,2
932,Odisha,Cuttack,2024,December,Monsoon,Family,Foreign,6974,9.2,30176,Hostel,Train,3
933,Andhra Pradesh,Kakinada,2024,July,Summer,Backpacking,Domestic,10810,7.2,14877,Resort,Flight,2
934,Himachal Pradesh,Dalhousie,2023,January,Summer,Adventure,Domestic,31260,7.0,60828,Hostel,Train,3
935,Himachal Pradesh,Spiti,2023,July,Monsoon,Adventure,Domestic,28286,5.6,8467,Resort,Train,4
936,Gujarat,Ahmedabad,2025,December,Autumn,Leisure,Domestic,26440,2.6,37666,Hostel,Train,5
937,Telangana,Bhongir,2023,November,Winter,Wildlife,Foreign,14440,2.0,6177,Hotel,Train,5
938,Maharashtra,Mumbai,2023,May,Winter,Backpacking,Domestic,26563,4.5,14778,Resort,Bike,2
939,Telangana,Warangal,2025,June,Summer,Pilgrimage,Domestic,18922,7.6,13852,Houseboat,Bus,2
940,Bihar,Rajgir,2024,March,Summer,Honeymoon,Domestic,21818,9.1,20090,Homestay,Flight,1
941,Jammu and Kashmir,Pahalgam,2021,May,Summer,Leisure,Domestic,687,6.3,63605,Hotel,Train,5
942,Telangana,Warangal,2022,January,Winter,Heritage,Domestic,19098,8.5,70348,Camp,Flight,5
943,Uttarakhand,Rishikesh,2023,December,Monsoon,Adventure,Domestic,23038,9.9,35230,Homestay,Car,4
944,Gujarat,Somnath,2023,May,Monsoon,Leisure,Foreign,43561,8.7,64985,Houseboat,Bus,1
945,Odisha,Gopalpur,2025,July,Summer,Leisure,Domestic,9332,4.2,5550,Camp,Train,2
946,Jammu and Kashmir,Pahalgam,2022,April,Winter,Business,Foreign,41133,7.1,60386,Hostel,Flight,5
947,Uttar Pradesh,Prayagraj,2025,July,Monsoon,Family,Foreign,18154,3.8,6887,Guesthouse,Car,5
948,Punjab,Bathinda,2022,August,Autumn,Adventure,Domestic,596,5.5,20784,Guesthouse,Bus,4
949,Odisha,Konark,2021,November,Spring,Wellness,Domestic,4284,8.2,3543,Resort,Bus,4
950,Karnataka,Coorg,2023,January,Winter,Wellness,Domestic,23135,6.9,1584,Hostel,Bus,1
951,Uttarakhand,Nainital,2024,November,Spring,Honeymoon,Domestic,5686,7.4,20196,Camp,Bike,2
952,Sikkim,Gangtok,2021,January,Summer,Honeymoon,Domestic,44516,6.7,56886,Hostel,Bus,4
953,Uttar Pradesh,Lucknow,2023,March,Monsoon,Wellness,Domestic,21184,8.2,19742,Guesthouse,Car,2
954,Uttarakhand,Mussoorie,2024,May,Summer,Backpacking,Domestic,41227,5.2,25534,Homestay,Flight,4
955,Himachal Pradesh,Manali,2024,December,Autumn,Backpacking,Foreign,46750,4.2,47924,Homestay,Bike,4
956,Jammu and Kashmir,Sonmarg,2025,September,Winter,Heritage,Domestic,9263,6.5,41134,Hotel,Car,2
957,Odisha,Konark,2025,September,Spring,Pilgrimage,Domestic,25783,2.1,2280,Guesthouse,Bus,4
958,Andhra Pradesh,Vizag,2021,May,Winter,Adventure,Domestic,6433,8.4,64606,Camp,Flight,3
959,Himachal Pradesh,Dalhousie,2022,December,Spring,Wellness,Domestic,33883,2.3,66420,Houseboat,Flight,2
960,Uttarakhand,Nainital,2021,August,Winter,Honeymoon,Domestic,52,2.4,17364,Guesthouse,Train,5
961,Maharashtra,Pune,2024,January,Autumn,Adventure,Domestic,3697,9.3,40811,Camp,Bike,4
962,Tamil Nadu,Ooty,2022,October,Monsoon,Backpacking,Foreign,40496,2.1,20668,Houseboat,Car,1
963,Uttarakhand,Jim Corbett,2024,September,Summer,Business,Domestic,31537,3.6,14609,Houseboat,Bike,5
964,Gujarat,Vadodara,2021,July,Autumn,Honeymoon,Domestic,27891,2.3,38648,Houseboat,Flight,4
965,Sikkim,Yumthang,2023,May,Spring,Leisure,Domestic,23297,9.7,62829,Hotel,Bike,4
966,Rajasthan,Udaipur,2022,September,Spring,Family,Foreign,34460,4.5,9726,Resort,Bus,2
967,Gujarat,Vadodara,2024,August,Monsoon,Wellness,Domestic,43201,3.7,53133,Houseboat,Train,1
968,Madhya Pradesh,Pachmarhi,2025,October,Summer,Wellness,Domestic,34484,3.3,43977,Houseboat,Bike,5
969,Gujarat,Gir,2024,February,Autumn,Wellness,Foreign,10481,3.1,15422,Hotel,Flight,4
970,Punjab,Chandigarh,2023,March,Winter,Business,Domestic,27578,9.3,9616,Houseboat,Car,5
971,Himachal Pradesh,Shimla,2022,June,Autumn,Adventure,Foreign,21097,2.0,60418,Guesthouse,Flight,4
972,Sikkim,Namchi,2025,May,Summer,Business,Domestic,14828,2.8,22745,Hostel,Car,4
973,Karnataka,Bengaluru,2025,November,Winter,Wellness,Domestic,9261,9.0,48628,Houseboat,Flight,4
974,Assam,Guwahati,2023,November,Summer,Family,Domestic,13647,6.1,63593,Houseboat,Bike,5
975,Gujarat,Gir,2023,February,Summer,Backpacking,Domestic,4694,6.1,18171,Hostel,Car,5
976,Himachal Pradesh,Shimla,2024,January,Summer,Heritage,Domestic,14731,8.4,39497,Guesthouse,Bike,3
977,Gujarat,Ahmedabad,2024,February,Monsoon,Pilgrimage,Domestic,33981,9.4,67042,Guesthouse,Bike,3
978,Bihar,Patna,2023,October,Winter,Backpacking,Domestic,2165,4.0,35694,Hostel,Bus,2
979,Kerala,Alleppey,2021,December,Spring,Business,Domestic,4828,8.3,6134,Homestay,Flight,3
980,Jammu and Kashmir,Jammu,2022,September,Winter,Wellness,Domestic,2785,1.9,66589,Hostel,Train,5
981,Gujarat,Somnath,2025,April,Monsoon,Heritage,Domestic,12906,5.8,51227,Hotel,Flight,1
982,Telangana,Hyderabad,2025,December,Autumn,Wildlife,Domestic,36064,2.2,58903,Resort,Car,1
983,Gujarat,Dwarka,2025,July,Monsoon,Business,Domestic,38625,1.1,55641,Hotel,Train,5
984,Kerala,Munnar,2022,February,Winter,Business,Domestic,18570,1.4,47331,Hotel,Train,5
985,West Bengal,Darjeeling,2024,August,Autumn,Wellness,Domestic,5055,3.3,72756,Houseboat,Flight,2
986,Gujarat,Rann of Kutch,2025,June,Monsoon,Heritage,Domestic,42887,3.2,36566,Camp,Bike,3
987,Odisha,Puri,2022,July,Monsoon,Leisure,Domestic,5191,2.8,19474,Houseboat,Bike,5
988,West Bengal,Siliguri,2021,February,Summer,Backpacking,Domestic,15457,7.3,60975,Homestay,Train,1
989,Telangana,Hyderabad,2021,October,Monsoon,Honeymoon,Foreign,5587,1.5,51823,Hostel,Bus,4
990,Madhya Pradesh,Pachmarhi,2025,April,Winter,Heritage,Domestic,28301,5.8,41496,Resort,Car,1
991,Gujarat,Ahmedabad,2021,May,Monsoon,Wellness,Domestic,1842,4.1,58395,Camp,Bike,4
992,Himachal Pradesh,Spiti,2024,September,Monsoon,Wildlife,Domestic,37294,7.9,35591,Hostel,Car,2
993,Andhra Pradesh,Lepakshi,2025,January,Summer,Business,Domestic,16429,7.9,40274,Homestay,Bus,3
994,Madhya Pradesh,Khajuraho,2023,June,Monsoon,Wellness,Domestic,39895,1.1,41725,Homestay,Bus,5
995,Uttar Pradesh,Varanasi,2024,January,Autumn,Heritage,Domestic,23559,5.3,74455,Hostel,Flight,2
996,Kerala,Thekkady,2024,October,Monsoon,Adventure,Foreign,28914,2.6,37694,Guesthouse,Bus,3
